ID,Latitude,Longitude,Type,WQI,Grade,Updated
FADS115,12.067811,0.38155,Puit publique indépendant,Pas de données,Pas de données,Pas de données
FADS114,12.067758,0.379449,Forage publique indépendant à une école,Pas de données,Pas de données,Pas de données
FADS113,12.066154,0.376076,Robinet d'ONEA publique,Pas de données,Pas de données,Pas de données
FADS112,12.065897,0.373499,Robinet d'ONEA publique,Pas de données,Pas de données,Pas de données
FADS111,12.066694,0.370639,Puit publique indépendant,Pas de données,Pas de données,Pas de données
FADS101,12.067825,0.371443,Puit publique indépendant,Pas de données,Pas de données,Pas de données
FADS102,12.067799,0.371662,Puit publique indépendant,Pas de données,Pas de données,Pas de données
FADS927,12.072669,0.369116,Forage publique indépendant à un école,Pas de données,Pas de données,Pas de données
FADS920,12.071544,0.367702,Puit publique indépendant,39.72/100,MAUVAIS,17/07/2015
FADS926,12.073279,0.368008,Robinet d'ONEA publique,Pas de données,Pas de données,Pas de données
FADS925,12.075681,0.367613,Robinet d'ONEA publique,Pas de données,Pas de données,Pas de données
FADS93,12.070593,0.363169,Robinet d'ONEA publique,93.01/100,EXCELLENT,17/07/2015
FADS94,12.072758,0.361817,Forage publique indépendant,93.01/100,EXCELLENT,17/07/2015
FADS92,12.070368,0.360844,Puit publique indépendant,29.91/100,MAUVAIS,17/07/2015
FADS91,12.070523,0.360693,Puit indépendant publique,28.39/100,MAUVAIS,17/07/2015
FADS76,12.0742,0.356243,Forage publique indépendant,Pas de données,Pas de données,Pas de données
FADS75,12.073287,0.356735,Robinet d'ONEA publique,Pas de données,Pas de données,Pas de données
FADS77,12.074354,0.352732,Forage publique indépendant à une école,Pas de données,Pas de données,Pas de données
FADS74,12.072315,0.355106,Puit publique indépendant,Pas de données,Pas de données,Pas de données
FADS71,12.070406,0.356718,Puit publique indépendant,Pas de données,Pas de données,Pas de données
FADS72,12.069996,0.355757,Robinet d'ONEA publique,Pas de données,Pas de données,Pas de données
FADS73,12.070301,0.353685,Robinet d'ONEA publique,Pas de données,Pas de données,Pas de données
FADS78,12.071352,0.351386,Forage publique indépendant,Pas de données,Pas de données,Pas de données
FADS79,12.068236,0.35352,Puit publique indépendant,Pas de données,Pas de données,Pas de données
FADS710,12.068059,0.351836,Robinet d'ONEA publique,Pas de données,Pas de données,Pas de données
FADS95,12.07387,0.35959,Puit publique indépendant,38.95/100,MAUVAIS,17/07/2015
FADS928,12.074385,0.358507,Forage publique indépendant,93.01/100,EXCELLENT,24/07/2015
FADS96,12.074978,0.358976,Puit publique indépendant,25.39/100,MAUVAIS,17/07/2015
FADS97,12.075729,0.358069,Robinet d'ONEA publique,93.01/100,EXCELLENT,17/07/2015
FADS98,12.077929,0.357216,Puit publique indépendant,39.29/100,MAUVAIS,17/07/2015
FADS99,12.077959,0.358189,Forage publique indépendant,93.01/100,EXCELLENT,17/07/2015
FADS910,12.078786,0.358639,Forage publique indépendant,93.01/100,EXCELLENT,17/07/2015
FADS911,12.079127,0.358622,Puit publique indépendant,32.94/100,MAUVAIS,17/07/2015
FADS915,12.080077,0.359712,Puit publique indépendant,43.71/100,MAUVAIS,17/07/2015
FADS912,12.082009,0.360565,Robinet d'ONEA publique (ne branchez pas au réseau; plaque solaire),93.01/100,EXCELLENT,17/07/2015
FADS914,12.082461,0.362491,Robinet d'ONEA publique,93.01/100,EXCELLENT,17/07/2015
FADS913,12.083909,0.364021,Forage publique indépendant,93.01/100,EXCELLENT,17/07/2015
FADS916,12.0789,0.362063,Forage publique indépendant,93.01/100,EXCELLENT,17/07/2015
FADS917,12.078215,0.362156,Forage publique indépendant,93.01/100,EXCELLENT,17/07/2015
FADS918,12.0777647,0.362862,Robinet d'ONEA publique,93.01/100,EXCELLENT,17/07/2015
FADS924,12.077432,0.3647,Puit publique indépendant,Pas de données,Pas de données,Pas de données
FADS923,12.079228,0.366689,Robinet d'ONEA publique,Pas de données,Pas de données,Pas de données
FADS919,12.080463,0.370259,Forage privé indépendant,39.72/100,MAUVAIS,17/07/2015
FADS922,12.079668,0.372416,Forage publique indépendant à CSPS,Pas de données,Pas de données,Pas de données
FADS921,12.082331,0.374875,Forage publique indépendant au lycée Communal,Pas de données,Pas de données,Pas de données
